,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
16,0.651,https://api.spotify.com/v1/audio-analysis/2pp0X2UDLlWY90oLj5ekwo,0.478,219187,0.367,2pp0X2UDLlWY90oLj5ekwo,0.0,3,0.123,-8.348,1,0.0282,76.572,4,https://api.spotify.com/v1/tracks/2pp0X2UDLlWY90oLj5ekwo,audio_features,spotify:track:2pp0X2UDLlWY90oLj5ekwo,0.634
17,0.838,https://api.spotify.com/v1/audio-analysis/24jAlnxlOaYUrufJfxD1ip,0.566,193773,0.255,24jAlnxlOaYUrufJfxD1ip,6.11e-05,0,0.0807,-13.723,1,0.0329,91.483,4,https://api.spotify.com/v1/tracks/24jAlnxlOaYUrufJfxD1ip,audio_features,spotify:track:24jAlnxlOaYUrufJfxD1ip,0.352
18,0.0575,https://api.spotify.com/v1/audio-analysis/5l6hpyTGBK0LAAxgPnqTQL,0.447,266773,0.592,5l6hpyTGBK0LAAxgPnqTQL,4.47e-06,6,0.13,-3.015,0,0.0319,78.039,4,https://api.spotify.com/v1/tracks/5l6hpyTGBK0LAAxgPnqTQL,audio_features,spotify:track:5l6hpyTGBK0LAAxgPnqTQL,0.283
19,0.26,https://api.spotify.com/v1/audio-analysis/5dNA5QkKtDmaKpSMVAHyZY,0.432,206973,0.856,5dNA5QkKtDmaKpSMVAHyZY,1.35e-05,2,0.384,-12.956,1,0.0383,118.469,4,https://api.spotify.com/v1/tracks/5dNA5QkKtDmaKpSMVAHyZY,audio_features,spotify:track:5dNA5QkKtDmaKpSMVAHyZY,0.831
20,0.306,https://api.spotify.com/v1/audio-analysis/1VMm5rgAijgUtzq8ZZWEKl,0.598,208199,0.76,1VMm5rgAijgUtzq8ZZWEKl,0.0,3,0.24,-3.263,1,0.0286,76.967,1,https://api.spotify.com/v1/tracks/1VMm5rgAijgUtzq8ZZWEKl,audio_features,spotify:track:1VMm5rgAijgUtzq8ZZWEKl,0.576
21,0.254,https://api.spotify.com/v1/audio-analysis/0ZUJJOh6eD2Vsp0DPIDn6m,0.714,161227,0.66,0ZUJJOh6eD2Vsp0DPIDn6m,0.0,2,0.0281,-9.215,1,0.0322,96.895,4,https://api.spotify.com/v1/tracks/0ZUJJOh6eD2Vsp0DPIDn6m,audio_features,spotify:track:0ZUJJOh6eD2Vsp0DPIDn6m,0.883
22,0.337,https://api.spotify.com/v1/audio-analysis/5RHf8SmHRWbF3oywpXaQ2i,0.527,179773,0.821,5RHf8SmHRWbF3oywpXaQ2i,1.68e-06,2,0.394,-7.19,1,0.047,166.139,4,https://api.spotify.com/v1/tracks/5RHf8SmHRWbF3oywpXaQ2i,audio_features,spotify:track:5RHf8SmHRWbF3oywpXaQ2i,0.835
23,0.233,https://api.spotify.com/v1/audio-analysis/0ZC66cWPMubiDpR127ZqSA,0.383,527533,0.424,0ZC66cWPMubiDpR127ZqSA,0.138,1,0.152,-11.549,0,0.0361,128.293,4,https://api.spotify.com/v1/tracks/0ZC66cWPMubiDpR127ZqSA,audio_features,spotify:track:0ZC66cWPMubiDpR127ZqSA,0.243
24,0.185,https://api.spotify.com/v1/audio-analysis/6MLwR1sv7arqmrwwlBBQSI,0.422,195067,0.524,6MLwR1sv7arqmrwwlBBQSI,0.0244,5,0.105,-6.716,1,0.0345,185.982,4,https://api.spotify.com/v1/tracks/6MLwR1sv7arqmrwwlBBQSI,audio_features,spotify:track:6MLwR1sv7arqmrwwlBBQSI,0.606
25,0.16,https://api.spotify.com/v1/audio-analysis/3LN41NUdHkyNqQhi9gExMm,0.84,188493,0.571,3LN41NUdHkyNqQhi9gExMm,0.0,10,0.406,-7.421,1,0.0797,116.59,4,https://api.spotify.com/v1/tracks/3LN41NUdHkyNqQhi9gExMm,audio_features,spotify:track:3LN41NUdHkyNqQhi9gExMm,0.617
26,0.716,https://api.spotify.com/v1/audio-analysis/2UMiwpFmpG3bI1dj55Il2n,0.603,280822,0.408,2UMiwpFmpG3bI1dj55Il2n,0.267,4,0.151,-13.526,1,0.0318,83.479,4,https://api.spotify.com/v1/tracks/2UMiwpFmpG3bI1dj55Il2n,audio_features,spotify:track:2UMiwpFmpG3bI1dj55Il2n,0.599
27,0.183,https://api.spotify.com/v1/audio-analysis/25s7McbRDxvpRphlIpJoKD,0.758,181440,0.754,25s7McbRDxvpRphlIpJoKD,0.23,7,0.169,-4.287,1,0.0467,120.955,4,https://api.spotify.com/v1/tracks/25s7McbRDxvpRphlIpJoKD,audio_features,spotify:track:25s7McbRDxvpRphlIpJoKD,0.608
28,0.112,https://api.spotify.com/v1/audio-analysis/13kmaAS77f3Ly94fmxPZ7j,0.565,107067,0.923,13kmaAS77f3Ly94fmxPZ7j,2.53e-05,0,0.161,-7.35,1,0.0907,106.739,4,https://api.spotify.com/v1/tracks/13kmaAS77f3Ly94fmxPZ7j,audio_features,spotify:track:13kmaAS77f3Ly94fmxPZ7j,0.684
29,0.45,https://api.spotify.com/v1/audio-analysis/0O6lxlaQZBtkRLknKKpKbB,0.585,216177,0.426,0O6lxlaQZBtkRLknKKpKbB,0.000129,2,0.187,-8.367,0,0.0472,75.925,4,https://api.spotify.com/v1/tracks/0O6lxlaQZBtkRLknKKpKbB,audio_features,spotify:track:0O6lxlaQZBtkRLknKKpKbB,0.312
30,0.279,https://api.spotify.com/v1/audio-analysis/2iTRea118VRKRUzrGjjlHP,0.439,249360,0.454,2iTRea118VRKRUzrGjjlHP,0.0,0,0.123,-8.669,1,0.0308,204.263,4,https://api.spotify.com/v1/tracks/2iTRea118VRKRUzrGjjlHP,audio_features,spotify:track:2iTRea118VRKRUzrGjjlHP,0.354
31,0.000745,https://api.spotify.com/v1/audio-analysis/3ubZmXKA2YikQd9EdKo5OR,0.809,268840,0.392,3ubZmXKA2YikQd9EdKo5OR,0.0872,9,0.0582,-16.61,0,0.059,133.332,4,https://api.spotify.com/v1/tracks/3ubZmXKA2YikQd9EdKo5OR,audio_features,spotify:track:3ubZmXKA2YikQd9EdKo5OR,0.962
32,0.0801,https://api.spotify.com/v1/audio-analysis/2tznHmp70DxMyr2XhWLOW0,0.635,208760,0.675,2tznHmp70DxMyr2XhWLOW0,0.0,2,0.0831,-3.445,1,0.0263,113.946,4,https://api.spotify.com/v1/tracks/2tznHmp70DxMyr2XhWLOW0,audio_features,spotify:track:2tznHmp70DxMyr2XhWLOW0,0.273
33,0.825,https://api.spotify.com/v1/audio-analysis/1OnaB4QOjUqfpMY5iEa2Pd,0.528,213427,0.508,1OnaB4QOjUqfpMY5iEa2Pd,0.0,9,0.0889,-6.801,1,0.0262,80.346,4,https://api.spotify.com/v1/tracks/1OnaB4QOjUqfpMY5iEa2Pd,audio_features,spotify:track:1OnaB4QOjUqfpMY5iEa2Pd,0.205
34,0.0017,https://api.spotify.com/v1/audio-analysis/08njkW4ml00OXR3LvTYSzV,0.473,172593,0.719,08njkW4ml00OXR3LvTYSzV,0.353,6,0.271,-6.735,0,0.0511,81.013,4,https://api.spotify.com/v1/tracks/08njkW4ml00OXR3LvTYSzV,audio_features,spotify:track:08njkW4ml00OXR3LvTYSzV,0.0583
35,0.00147,https://api.spotify.com/v1/audio-analysis/0quGJukpao2TNHd0gIn1pd,0.434,240040,0.912,0quGJukpao2TNHd0gIn1pd,0.0,11,0.355,-5.822,1,0.101,163.032,4,https://api.spotify.com/v1/tracks/0quGJukpao2TNHd0gIn1pd,audio_features,spotify:track:0quGJukpao2TNHd0gIn1pd,0.578
36,0.136,https://api.spotify.com/v1/audio-analysis/5aEuhJHFc192ULFYwMo4H4,0.705,192449,0.771,5aEuhJHFc192ULFYwMo4H4,0.000812,8,0.108,-5.662,1,0.0351,99.995,4,https://api.spotify.com/v1/tracks/5aEuhJHFc192ULFYwMo4H4,audio_features,spotify:track:5aEuhJHFc192ULFYwMo4H4,0.295
37,0.0108,https://api.spotify.com/v1/audio-analysis/19bnCzrtKoNITRpwcuZl46,0.873,207229,0.167,19bnCzrtKoNITRpwcuZl46,0.0,9,0.344,-16.776,1,0.509,132.117,4,https://api.spotify.com/v1/tracks/19bnCzrtKoNITRpwcuZl46,audio_features,spotify:track:19bnCzrtKoNITRpwcuZl46,0.18
38,0.908,https://api.spotify.com/v1/audio-analysis/65jrjEhWfAvysKfnojk1i0,0.747,161960,0.226,65jrjEhWfAvysKfnojk1i0,0.000168,7,0.107,-13.635,1,0.0415,123.789,4,https://api.spotify.com/v1/tracks/65jrjEhWfAvysKfnojk1i0,audio_features,spotify:track:65jrjEhWfAvysKfnojk1i0,0.778
39,0.00104,https://api.spotify.com/v1/audio-analysis/1hr58cC3N5WwL7CF4yDTxh,0.584,248467,0.938,1hr58cC3N5WwL7CF4yDTxh,1.39e-05,7,0.0796,-2.941,1,0.121,152.156,4,https://api.spotify.com/v1/tracks/1hr58cC3N5WwL7CF4yDTxh,audio_features,spotify:track:1hr58cC3N5WwL7CF4yDTxh,0.349
40,0.087,https://api.spotify.com/v1/audio-analysis/0bBVRsBbgnzW8wmdlD7Apq,0.641,227133,0.816,0bBVRsBbgnzW8wmdlD7Apq,0.0,1,0.116,-3.963,0,0.0285,139.185,4,https://api.spotify.com/v1/tracks/0bBVRsBbgnzW8wmdlD7Apq,audio_features,spotify:track:0bBVRsBbgnzW8wmdlD7Apq,0.553
41,0.973,https://api.spotify.com/v1/audio-analysis/73qWjGoGXAv0HSqNo2pVCU,0.22,170667,0.225,73qWjGoGXAv0HSqNo2pVCU,5.53e-05,3,0.0982,-10.607,1,0.0352,79.083,3,https://api.spotify.com/v1/tracks/73qWjGoGXAv0HSqNo2pVCU,audio_features,spotify:track:73qWjGoGXAv0HSqNo2pVCU,0.121
42,0.869,https://api.spotify.com/v1/audio-analysis/2JWlINNlc0zDHV355kuBX8,0.515,154347,0.258,2JWlINNlc0zDHV355kuBX8,0.0,9,0.113,-9.168,1,0.0298,171.942,4,https://api.spotify.com/v1/tracks/2JWlINNlc0zDHV355kuBX8,audio_features,spotify:track:2JWlINNlc0zDHV355kuBX8,0.806
43,0.156,https://api.spotify.com/v1/audio-analysis/0nRuVPZx2iA3KWR4xSzryl,0.368,237464,0.788,0nRuVPZx2iA3KWR4xSzryl,0.000134,6,0.127,-6.894,1,0.0753,173.736,4,https://api.spotify.com/v1/tracks/0nRuVPZx2iA3KWR4xSzryl,audio_features,spotify:track:0nRuVPZx2iA3KWR4xSzryl,0.312
44,0.000255,https://api.spotify.com/v1/audio-analysis/5K02evjaRS8jRvCjp1jNPT,0.396,259893,0.824,5K02evjaRS8jRvCjp1jNPT,1.18e-05,11,0.32,-6.005,1,0.0455,174.997,3,https://api.spotify.com/v1/tracks/5K02evjaRS8jRvCjp1jNPT,audio_features,spotify:track:5K02evjaRS8jRvCjp1jNPT,0.666
45,0.284,https://api.spotify.com/v1/audio-analysis/00f5cJ88kjiyCLJebRHgAY,0.56,233800,0.392,00f5cJ88kjiyCLJebRHgAY,0.0,9,0.074,-13.1,1,0.0296,172.327,4,https://api.spotify.com/v1/tracks/00f5cJ88kjiyCLJebRHgAY,audio_features,spotify:track:00f5cJ88kjiyCLJebRHgAY,0.652
46,0.133,https://api.spotify.com/v1/audio-analysis/1Xn0M62M3BA8QyIzIxqULJ,0.734,417560,0.535,1Xn0M62M3BA8QyIzIxqULJ,0.894,11,0.107,-15.408,1,0.037,99.058,4,https://api.spotify.com/v1/tracks/1Xn0M62M3BA8QyIzIxqULJ,audio_features,spotify:track:1Xn0M62M3BA8QyIzIxqULJ,0.447
47,0.777,https://api.spotify.com/v1/audio-analysis/1jEDrtY0bsHseV89nOUJDG,0.688,180747,0.407,1jEDrtY0bsHseV89nOUJDG,0.0,0,0.75,-6.218,1,0.304,121.59,4,https://api.spotify.com/v1/tracks/1jEDrtY0bsHseV89nOUJDG,audio_features,spotify:track:1jEDrtY0bsHseV89nOUJDG,0.616
48,0.939,https://api.spotify.com/v1/audio-analysis/6F9z8Xe7EKyCSGexzi87ii,0.629,181640,0.333,6F9z8Xe7EKyCSGexzi87ii,0.198,5,0.137,-13.424,1,0.029,79.099,3,https://api.spotify.com/v1/tracks/6F9z8Xe7EKyCSGexzi87ii,audio_features,spotify:track:6F9z8Xe7EKyCSGexzi87ii,0.18
49,0.0578,https://api.spotify.com/v1/audio-analysis/2y5aJvzXhHPA94U5GFAcXe,0.737,245653,0.452,2y5aJvzXhHPA94U5GFAcXe,1.48e-05,0,0.187,-8.366,1,0.0534,117.962,4,https://api.spotify.com/v1/tracks/2y5aJvzXhHPA94U5GFAcXe,audio_features,spotify:track:2y5aJvzXhHPA94U5GFAcXe,0.096
50,0.143,https://api.spotify.com/v1/audio-analysis/0S85y4OL3gx1LLlMVqUiPF,0.537,305120,0.621,0S85y4OL3gx1LLlMVqUiPF,1.61e-06,4,0.0962,-8.606,1,0.0408,147.477,4,https://api.spotify.com/v1/tracks/0S85y4OL3gx1LLlMVqUiPF,audio_features,spotify:track:0S85y4OL3gx1LLlMVqUiPF,0.777
51,0.02,https://api.spotify.com/v1/audio-analysis/0gRczqVHrEQQDyizJUtgRc,0.761,185200,0.856,0gRczqVHrEQQDyizJUtgRc,0.0,0,0.149,-3.65,0,0.0731,106.009,4,https://api.spotify.com/v1/tracks/0gRczqVHrEQQDyizJUtgRc,audio_features,spotify:track:0gRczqVHrEQQDyizJUtgRc,0.967
