,artist,song,artist_followers,release_date,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity
7002,Outkast,Behold A Lady,806152,2003,0.138,0.954,277227,0.543,1.75e-05,1,0.204,-3.648,1,0.115,108.037,4,0.709,38
7003,Dean Martin,Arrivederci Roma,4312,2012,0.79,0.442,215627,0.296,0.396,2,0.261,-14.563,1,0.0362,126.056,4,0.321,39
7004,P!nk,Nobody Knows,1862373,2016-08-12,0.737,0.646,188573,0.389,0.0014,9,0.101,-12.88,1,0.0389,82.041,4,0.173,56
7005,Nitty Gritty Dirt Band,Old Time's Sake,11513877,2009-05-15,0.0533,0.767,278160,0.829,0.0,1,0.352,-2.009,1,0.302,176.022,4,0.81,48
7006,Snoop Dogg,Go Away,100552,1991-09-07,0.187,0.572,267000,0.721,7.41e-06,5,0.216,-8.959,1,0.0402,164.252,4,0.844,63
7007,Don McLean,Bronco Bill's Lament,23,2007-10-23,0.747,0.467,188333,0.25,0.0,7,0.0994,-12.122,1,0.0841,165.663,4,0.375,1
7008,Ween,Help Me Scrape The Mucus Off My Brain,112406,1996-05-06,0.576,0.621,165360,0.537,0.315,7,0.301,-12.17,1,0.0307,117.994,4,0.963,33
7009,Johnny Cash,Daddy Sang Bass,1944795,2002-02-12,0.699,0.681,140440,0.638,0.000629,4,0.0581,-7.818,1,0.0367,96.882,4,0.677,48
7010,Bob Marley,What Am I Supposed To Do,38148,2015-02-17,0.125,0.638,182427,0.76,0.0,11,0.122,-3.72,0,0.0299,77.972,4,0.486,23
7011,Lou Reed,Legendary Hearts,142192,1993-01-01,0.896,0.778,160750,0.291,0.000514,2,0.147,-12.703,1,0.039,107.73,3,0.695,29
7012,Wet Wet Wet,Strange,255797,2015-04-07,0.968,0.441,208227,0.379,0.262,2,0.639,-9.545,1,0.0449,174.118,3,0.105,77
7013,Deep Purple,Place In Line,17528,2011-10-23,0.00968,0.472,241840,0.797,0.554,0,0.182,-8.686,1,0.03,126.965,4,0.245,13
7014,Conway Twitty,Green Eyes,8973619,2002-08-08,0.539,0.608,223040,0.405,6.7e-06,9,0.231,-8.607,1,0.0265,129.54,4,0.233,64
7015,The Jam,The Combine,49602,2017-08-29,0.00691,0.564,218635,0.611,0.695,11,0.0711,-9.749,0,0.0267,109.995,4,0.383,46
7016,Norah Jones,Things You Don't Have To Do,76154,2003-02-11,0.17,0.728,285067,0.583,0.0,0,0.107,-7.924,0,0.0872,143.959,4,0.708,19
7017,Yellowcard,Awakening,802,2016-07-20,0.995,0.429,180774,0.0541,0.928,10,0.114,-26.759,0,0.0411,122.311,1,0.0569,68
7018,Pogues,A Rainy Night In Soho,142523,1985,0.499,0.375,283827,0.449,0.237,0,0.173,-12.478,1,0.0283,105.646,3,0.49,41
7019,Scorpions,This Time,6167012,2010-05-07,0.00627,0.766,202627,0.873,0.0,11,0.0764,-6.381,0,0.143,126.988,4,0.743,71
7020,Styx,Father O.S.A.,295328,1973,0.00489,0.227,427640,0.76,0.0206,7,0.104,-7.575,1,0.0438,147.435,4,0.578,12
7021,Barbra Streisand,Beautiful,1903159,2017-06-16,0.00252,0.842,215307,0.597,0.0,2,0.124,-6.336,1,0.0627,145.992,4,0.298,84
7022,Bonnie Raitt,Finest Lovin' Man,154503,1971,0.726,0.679,282067,0.513,0.0455,4,0.0627,-8.024,0,0.0396,100.891,4,0.885,22
7023,Eagles,Earlybird,263,2017-10-27,0.53,0.685,193104,0.566,9.01e-05,1,0.327,-9.496,1,0.0374,114.943,4,0.611,51
7024,The Monkees,Look Out Here Comes Tomorrow,193022,2003,0.621,0.588,135467,0.87,0.0,7,0.0476,-6.547,1,0.0397,130.149,4,0.952,31
7025,Culture Club,Your Kisses Are Charity,192090,2005-06-21,0.0267,0.668,260600,0.718,4.21e-05,7,0.176,-8.161,1,0.0533,91.764,4,0.629,17
7026,U2,Discotheque,8198,2017-09-22,0.161,0.781,193000,0.838,0.139,2,0.297,-3.738,0,0.336,120.064,4,0.49,46
7027,Glen Campbell,By The Time I Get To Phoenix,83606,1967,0.0743,0.218,163933,0.336,1.61e-06,5,0.138,-12.997,1,0.0301,176.66,4,0.232,48
7028,Faces,I Wish It Would Rain,640148,2008-01-01,0.195,0.371,165733,0.585,0.0,3,0.13,-7.257,1,0.0942,181.297,4,0.545,48
7029,Les Miserables,Drink With Me,10676,2013-01-01,0.912,0.488,102067,0.0396,0.0,5,0.0826,-21.673,1,0.0505,62.912,3,0.262,43
7030,Counting Crows,Carriage,162712,1998-06-30,0.0133,0.879,241533,0.423,0.000233,1,0.155,-10.511,1,0.257,99.737,4,0.586,40
7031,P!nk,Let Me Let You Know,3085544,2000,0.251,0.751,284867,0.568,3.01e-05,11,0.0594,-7.738,1,0.0326,114.669,4,0.471,32
7032,Carly Simon,Jesse,1141865,2017-08-18,0.0112,0.702,183573,0.84,0.0,0,0.119,-3.547,1,0.0879,101.99,4,0.624,86
7033,Loretta Lynn,High On A Mountain,25539,2015-04-14,0.747,0.374,95360,0.275,0.969,2,0.105,-11.18,1,0.0351,118.747,4,0.273,27
7034,George Jones,D-I-V-O-R-C-E,92487,1967,0.836,0.619,175253,0.33,0.0,9,0.154,-11.332,1,0.0295,99.353,4,0.602,40
7035,Old 97's,Timebomb,407771,2012-05-25,0.0146,0.711,177332,0.942,0.551,0,0.227,-6.352,1,0.0422,128.027,4,0.938,48
7036,Lucky Dube,Dracula,2371070,2001,0.00376,0.764,281467,0.5,0.824,9,0.15,-12.736,1,0.0356,121.607,4,0.287,47
7037,Drake,Uptown,379485,2015-01-12,0.00801,0.856,269667,0.609,8.15e-05,0,0.0344,-7.223,1,0.0824,114.988,4,0.928,81
7038,Kylie Minogue,Light Years,4532556,2017-11-17,0.00176,0.206,144627,0.99,8.07e-05,10,0.335,-3.565,1,0.13,187.433,4,0.666,0
7039,Widespread Panic,Mercy,5185639,2017-04-20,0.125,0.568,208733,0.669,0.0,11,0.111,-4.889,0,0.0794,147.926,4,0.404,75
7040,John Waite,Restless Heart,35645,1998-05-01,0.556,0.641,285560,0.561,0.0,10,0.0758,-9.09,1,0.0273,113.932,4,0.512,46
7041,Jennifer Lopez,Greatest Part Of Me,6413,1997,0.326,0.551,313427,0.488,6.25e-05,5,0.228,-10.361,1,0.0289,60.74,4,0.202,12
7042,Ray Charles,Crazy Love,9382160,2003-06-24,0.00249,0.646,236133,0.77,0.0,2,0.0715,-6.596,0,0.226,99.165,4,0.681,77
